GeneID	control_1	control_2	treatment_1	treatment_2
LOC_Os12g40910	0.413702149	0	0	0
LOC_Os12g40900	10.00522736	15.7865435	1.217724304	4.731555632
LOC_Os12g40890	20.03687697	33.63936844	7.28432232	18.04877442
LOC_Os12g40880	6.183320038	6.827378656	2.615865967	3.202285051
LOC_Os12g40880	18.14786078	11.22645816	12.10276449	6.378548913
LOC_Os12g40860	0.385637914	2.098175521	0.085337329	1.629701804
LOC_Os12g40850	0	0	0	0
LOC_Os12g40840	2.698505304	3.395213651	0	0.593950796
LOC_Os12g40840	162.6895681	156.311862	34.03344952	53.05654676
LOC_Os12g40830	0	1.662764661	0	0
LOC_Os12g40830	31.45434221	35.96179591	37.38912858	42.4481272
LOC_Os12g40830	0	0	2.055898175	0
LOC_Os12g40820	0	0	0.061818244	0
LOC_Os12g40810	0	0	0	0
LOC_Os12g40800	0	0	0	0
LOC_Os12g40790	2.55391686	2.826168689	4.454172365	4.224794691
LOC_Os12g40780	0.903807598	0.437104781	1.000012238	1.010444837
LOC_Os12g40774	0.15166506	0.495106791	0	0.152603563
LOC_Os12g40770	0.627741099	0.585498599	0.099222885	0.36092889
LOC_Os12g40760	0.337663436	0.734862554	0.186802794	0.339752895
LOC_Os12g40750	0.288271178	0	0	0.290054999
LOC_Os12g40730	0	0	0.110159884	0
LOC_Os12g40720	0	0	0	0
LOC_Os12g40710	0	0	0	0
LOC_Os12g40700	0	0	0	0
LOC_Os12g40690	0	0	0	0
LOC_Os12g40680	0	0	0	0
LOC_Os12g40670	0	0.109006876	0	0
LOC_Os12g40660	0	0	0	0
LOC_Os12g40650	0	0	0	0
LOC_Os12g40630	0	0	0	0
LOC_Os12g40619	0	0	0	0
LOC_Os12g40610	0	0	0	0
LOC_Os12g40600	0	0	0	0
LOC_Os12g40590	0	0	0	0
LOC_Os12g40580	0	0	0	0
LOC_Os12g40570	15.83457665	22.45395358	70.70106119	67.68202059
LOC_Os12g40570	0	0.69955777	0.569050503	0.646860495
LOC_Os12g40560	4.641839351	3.1487103	1.600810593	3.093489795
LOC_Os12g40560	4.045359994	5.100721041	18.18804073	12.27578738
LOC_Os12g40550	21.26047425	21.61037838	70.02349588	47.0956406
LOC_Os12g40540	5.932289256	5.142333654	0	2.731575459
LOC_Os12g40540	0	1.204207555	2.346849165	0.64953893
LOC_Os12g40530	9.235090063	8.554737708	13.04773711	9.911719193
LOC_Os12g40520	14.79913528	14.44868917	24.78903773	30.73277554
LOC_Os12g40510	21.2112749	19.89760796	29.13403263	25.75822603
LOC_Os12g40500	0	0	0	0.606534499
LOC_Os12g40500	6.960560522	5.142969766	2.852395724	2.075150349
LOC_Os12g40500	0	0	1.15113554	0
LOC_Os12g40490	23.78340915	28.14285678	32.42641157	35.17664601
LOC_Os12g40480	5.679572868	5.805712377	2.729469613	2.828496803
LOC_Os12g40480	0.390360011	1.628298391	1.655660295	0.916476298
LOC_Os12g40470	0.663612019	0.24070498	0.489499566	0.222572815
LOC_Os12g40460	0.622930822	2.16911154	0.275695158	0.125357103
LOC_Os12g40450	2.153442974	2.343286887	1.732846144	1.575831612
LOC_Os12g40440	4.693421789	4.779802249	3.395427686	2.542865583
LOC_Os12g40419	1.688667891	1.102522808	5.00735482	4.41770513
LOC_Os12g40419	0.264904187	0.360322118	3.150841908	2.19898315
LOC_Os12g40419	1.215707968	1.81026059	2.690224885	4.120356249
LOC_Os12g40400	0	0	0	0
LOC_Os12g40390	0.63509744	0.230362187	0	0
LOC_Os12g40380	3.036787757	2.796120344	0.516928421	0.705133703
LOC_Os12g40370	0	0	0	0
LOC_Os12g40360	0	0	0	0
LOC_Os12g40350	0.102062112	0	0.112925983	0
LOC_Os12g40340	19.62638152	27.25103478	26.66661745	42.26035503
LOC_Os12g40330	1.511413827	0.939804303	1.433395142	1.086261748
LOC_Os12g40320	0	0	0	0
LOC_Os12g40310	0	0	0	0
LOC_Os12g40300	0.171865692	0	0.38031943	0.345858392
LOC_Os12g40290	0	0	0	0
